timestamp	job_id	title	company	date	link
2025-08-18T07:36:50.471196	4287098200	Graduate Software Engineer (relocate to London)	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-relocate-to-london-at-bending-spoons-4287098200?position=55&pageNum=0&refId=HQiHAmU9PgMBSEvgtmGMaA%3D%3D&trackingId=mc%2FK7HEDh%2BOYJntDqqVKjg%3D%3D
2025-08-18T07:36:48.258048	4287302017	Graduate Software Engineer (relocate to Milan)	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-relocate-to-milan-at-bending-spoons-4287302017?position=54&pageNum=0&refId=HQiHAmU9PgMBSEvgtmGMaA%3D%3D&trackingId=Yf7ccA%2FNoAHpJ6hm4GniKg%3D%3D
2025-08-18T07:36:45.991977	4287096320	Graduate Software Engineer (relocate to London)	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-relocate-to-london-at-bending-spoons-4287096320?position=53&pageNum=0&refId=HQiHAmU9PgMBSEvgtmGMaA%3D%3D&trackingId=d5Pb7S8Qaw6%2FjipXPTHuHw%3D%3D
2025-08-18T07:36:41.543936	4287096331	Graduate Software Engineer (relocate to Milan)	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-relocate-to-milan-at-bending-spoons-4287096331?position=51&pageNum=0&refId=HQiHAmU9PgMBSEvgtmGMaA%3D%3D&trackingId=eFH0kfgkYqOHFJB4vLCIjg%3D%3D
2025-08-18T07:36:39.303324	4287301149	Graduate Software Engineer (relocate to Milan)	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-relocate-to-milan-at-bending-spoons-4287301149?position=50&pageNum=0&refId=HQiHAmU9PgMBSEvgtmGMaA%3D%3D&trackingId=UTSJi9j6Smcpo82CAGOAJA%3D%3D
2025-08-18T07:36:34.867919	4287095816	Graduate Software Engineer (relocate to London)	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-relocate-to-london-at-bending-spoons-4287095816?position=48&pageNum=0&refId=HQiHAmU9PgMBSEvgtmGMaA%3D%3D&trackingId=zthna4HItNDZmXaIB6bPrw%3D%3D
2025-08-18T07:36:28.482811	4287098276	Graduate Software Engineer (relocate to Milan)	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-relocate-to-milan-at-bending-spoons-4287098276?position=46&pageNum=0&refId=HQiHAmU9PgMBSEvgtmGMaA%3D%3D&trackingId=CvcTD4p1leF8%2FLf7UvAPQw%3D%3D
2025-08-18T07:36:10.925711	4287099192	Graduate Software Engineer (relocate to Milan)	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-relocate-to-milan-at-bending-spoons-4287099192?position=39&pageNum=0&refId=HQiHAmU9PgMBSEvgtmGMaA%3D%3D&trackingId=vLOJf9nuK7VIWv3ORGpJiA%3D%3D
2025-08-18T07:36:04.241348	4287094957	Graduate Software Engineer (relocate to Milan)	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-relocate-to-milan-at-bending-spoons-4287094957?position=36&pageNum=0&refId=HQiHAmU9PgMBSEvgtmGMaA%3D%3D&trackingId=PWZG2rJf20RGpHMASGZ5EQ%3D%3D
2025-08-18T07:35:59.728346	4287300150	Graduate Software Engineer	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-at-bending-spoons-4287300150?position=34&pageNum=0&refId=HQiHAmU9PgMBSEvgtmGMaA%3D%3D&trackingId=TptFijhjiTVyAyJ0uriVpA%3D%3D
2025-08-18T07:35:57.478952	4287301185	Graduate Software Engineer	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-at-bending-spoons-4287301185?position=33&pageNum=0&refId=HQiHAmU9PgMBSEvgtmGMaA%3D%3D&trackingId=A0WE2wpdgqhACpjm9t56Nw%3D%3D
2025-08-18T07:35:52.991597	4287096328	Graduate Software Engineer	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-at-bending-spoons-4287096328?position=31&pageNum=0&refId=HQiHAmU9PgMBSEvgtmGMaA%3D%3D&trackingId=G5iDZM0uhsmourOKpWTNvA%3D%3D
